Rank,Name,Total,Individual,Round 1,Round 2,Conf. final,Final
1,Bo Yi,15,15,0,0,0,0
10,Burak,0,0,0,0,0,0
1,Gaetano,15,15,0,0,0,0
1,Hashim Karim,15,15,0,0,0,0
1,Ioannis Zygouris,15,15,0,0,0,0
10,Ivanio Tjin-A-Djie,0,0,0,0,0,0
1,Ivor Rookie Zagorac,15,15,0,0,0,0
1,Lil xanny fuck lil splash,15,15,0,0,0,0
1,Moritz Burgi,15,15,0,0,0,0
10,Noor B,0,0,0,0,0,0
1,Nora,15,15,0,0,0,0
10,Radu Serban,0,0,0,0,0,0
10,Simon Willems,0,0,0,0,0,0
10,Steffano Psathas,0,0,0,0,0,0
1,Tamiem Karim,15,15,0,0,0,0
10,Thijs,0,0,0,0,0,0
10,Toon,0,0,0,0,0,0
10,www.gerechtevenredig.nl,0,0,0,0,0,0
10,Yung Chairman,0,0,0,0,0,0
